,Q1,Q2,Q3,Q4,Q5,Q6,Q27,Q28,Q29,Q30,Q31,Q32,Q46,Q51,Q52,Q53,Q54,Q55,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81,Q113,Q114,Q115,Q116,Q117,Q118,Q130,Q131,Q132,Q133,Q134,Q135,Q136,Q137,Q138,Q142,Q143,Q146,Q147,Q148,Q169,Q170,Q196,Q197,Q198,Q199,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233,Q234,Q235,Q236,Q237,Q238,Q239,Q253,Q254,Q255,Q256,Q257,Q258,Q259
pid_574,1,1,1,1,1,2,1,2,1,4,2,2,1,4,4,4,4,4,1,1,1,2,2,3,1,1,4,3,4,1,2,3,2,3,3,2,2,1,1,2,2,1,2,2,2,2,3,2,3,1,4,4,4,4,4,4,4,4,4,4,3,3,4,3,1,1,1,1,2,4,4,4,4,3,3,4,2,1,1,3,4,4,1,4,2,1,1,1,1,3,1
pid_2001,1,1,1,1,1,4,1,4,4,4,4,2,1,4,4,4,4,4,1,1,1,2,1,2,4,1,2,3,1,2,2,2,3,2,2,1,1,3,2,1,1,1,3,3,2,2,2,2,1,1,4,4,4,3,4,4,4,2,4,1,2,2,4,4,4,4,4,1,1,4,2,4,2,1,1,2,4,4,1,4,1,4,1,4,3,2,1,1,1,1,1
pid_1710,1,1,1,2,1,2,1,3,2,4,2,3,3,4,2,4,4,4,1,3,2,3,3,3,1,1,4,3,4,1,2,4,3,4,3,2,3,2,2,3,3,2,3,2,3,3,3,2,3,3,3,4,4,3,4,4,4,1,1,1,1,1,2,2,1,1,2,1,3,4,1,3,4,4,2,2,3,1,1,4,4,4,1,4,2,1,2,2,1,3,4
pid_1277,1,1,1,1,1,4,3,4,4,4,4,4,4,3,1,2,4,4,1,3,2,3,1,2,4,3,2,4,1,3,3,3,4,3,2,1,2,3,3,1,1,1,3,3,3,2,2,2,1,4,1,2,1,2,1,2,2,1,1,1,1,1,4,4,4,4,4,1,1,3,2,4,3,2,1,2,4,4,1,4,2,4,1,4,4,3,4,3,4,3,4
pid_789,1,1,1,1,1,3,1,4,4,4,4,3,1,4,4,4,4,4,1,1,1,1,1,2,2,1,4,4,2,1,2,4,2,4,3,3,2,1,2,3,1,1,2,2,2,2,3,1,3,1,4,4,4,3,4,4,4,4,1,1,3,2,2,4,1,1,1,1,4,4,4,4,4,3,2,3,3,2,1,2,4,4,1,4,1,1,1,1,1,2,1
pid_1239,1,1,1,1,1,4,1,4,4,4,4,2,2,4,4,4,4,4,1,2,2,2,1,2,4,2,2,3,1,3,3,2,3,3,2,1,1,3,3,2,1,2,3,3,3,3,2,2,2,2,4,4,4,2,4,4,4,4,2,2,3,2,4,4,4,4,4,1,1,4,2,2,2,2,1,2,3,4,1,4,2,4,1,4,3,2,3,3,3,4,3
pid_820,1,1,1,3,2,1,2,4,4,4,4,2,2,3,2,2,3,4,2,2,2,2,1,1,4,3,2,3,2,3,2,3,4,3,2,2,2,3,3,1,1,1,3,3,3,3,2,1,1,3,3,3,2,3,3,3,4,1,1,1,2,1,4,4,2,2,4,2,2,4,2,3,3,2,2,3,4,3,1,4,2,4,1,4,3,2,1,1,2,1,1
pid_1913,4,1,1,1,3,4,4,4,4,4,4,4,4,2,1,2,4,4,3,4,4,4,2,3,4,4,4,4,1,4,3,4,4,4,4,1,4,4,3,1,2,2,3,3,4,3,3,2,1,4,2,3,3,2,2,2,2,1,1,1,1,1,4,4,4,4,4,1,4,2,1,2,4,4,1,2,4,4,1,4,2,4,1,4,4,4,4,4,4,2,3
pid_490,1,1,1,3,1,3,1,4,4,4,4,4,4,2,1,2,3,4,1,2,1,2,2,2,3,1,3,3,2,2,2,4,4,4,2,3,3,3,3,3,2,1,3,3,3,3,2,2,3,4,2,3,3,2,2,2,2,1,1,1,1,1,4,4,2,2,4,3,2,4,2,3,3,3,1,2,4,3,1,4,2,4,1,4,3,2,2,2,2,4,2
pid_1393,1,1,1,1,1,2,1,4,4,4,4,1,3,4,2,3,4,4,1,2,2,4,1,3,2,1,3,4,3,2,2,3,4,4,3,1,2,3,2,1,1,1,3,3,3,2,2,1,2,3,2,4,4,4,3,4,4,1,1,1,1,1,4,4,1,1,4,1,3,4,3,2,4,2,1,2,3,2,1,4,1,4,1,4,3,1,2,1,1,3,1
